customer_id,age,income,credit_score,account_balance,transaction_count,days_since_last_transaction,customer_segment,region,product_interest,registration_date,email_domain,phone_verified,marketing_opt_in,customer_feedback,churn
1,56,77447.55593094493,541.0,11844.744470146132,9,10.193279093192096,Standard,Central,Investment,2020-01-01 00:00:00.000000000,gmail.com,True,False,"Poor customer support, disappointed.",0
2,69,36444.278140132315,531.0,894.9217998567462,8,11.016334649708043,Basic,East,Investment,2020-01-02 11:04:30.270270270,yahoo.com,True,True,Love the new mobile app features!,0
3,46,73070.63744015737,583.0,5147.56192174932,5,12.434830702468208,Standard,South,Cards,2020-01-03 22:09:00.540540540,gmail.com,False,True,Not happy with the pricing structure.,0
4,32,42499.78743260372,499.0,8299.978107170076,13,6.38511206486259,Standard,East,Insurance,2020-01-05 09:13:30.810810810,gmail.com,True,True,"Great service, very satisfied!",0
5,60,36117.08092985012,378.0,14724.744256358115,10,3.8103480303936528,Standard,Central,Investment,2020-01-06 20:18:01.081081081,outlook.com,True,False,Account management is confusing.,0
6,25,52197.20146086498,472.0,2057.4672682550954,6,9.651232744270269,Premium,North,Cards,2020-01-08 07:22:31.351351351,gmail.com,True,True,"Poor customer support, disappointed.",0
7,78,56849.13836015029,766.0,6454.578553281447,11,8.09360284923911,Standard,East,Investment,2020-01-09 18:27:01.621621621,gmail.com,True,False,"Great service, very satisfied!",0
8,38,88230.59213018857,715.0,3869.7584896132585,9,22.26718868993167,Standard,West,Investment,2020-01-11 05:31:31.891891891,yahoo.com,True,True,Customer service was helpful and friendly.,0
9,56,56390.75157737429,748.0,312.72348964487037,3,7.939208860931805,Premium,West,Investment,2020-01-12 16:36:02.162162162,outlook.com,True,False,Billing issues need to be resolved.,0
10,75,53865.56123698772,386.0,5855.910670563994,10,1.5264132602541947,Standard,West,Investment,2020-01-14 03:40:32.432432432,company.com,True,True,Would recommend to others.,0
11,36,81922.85887803268,400.0,5857.472541044714,9,3.014289937218409,Standard,North,Insurance,2020-01-15 14:45:02.702702702,yahoo.com,True,False,Website is hard to navigate.,0
12,40,62021.07888423073,307.0,13339.832344103022,16,22.526184254136275,Basic,Central,Insurance,2020-01-17 01:49:32.972972973,yahoo.com,True,True,Not happy with the pricing structure.,0
13,28,37114.49639664104,499.0,3438.9323361569477,5,16.91294717224685,Premium,South,Investment,2020-01-18 12:54:03.243243243,yahoo.com,True,True,Account management is confusing.,0
